Compactness,Circularity,'Distance Circularity','Radius Ratio','PR. Axis Aspect Ratio','Max Length Aspect Ratio','Scatter Ratio',Elongatedness,'PR. Axis Rectangularity','Max Length Rectangularity','Scaled Variance Along Major Axis','Scaled Variance Along Minor Axis','Scaled Radius of Gyration','Skewness About Major Axis','Skewness About Minor Axis','Kurtosis About Minor Axis','Kurtosis About Major Axis','Hollows Ratio','Type of Vehicle'
2,6,11,14,18,21,27,32,37,40,46,51,58,60,64,66,67,72,75
3,6,10,15,18,24,25,30,36,41,46,49,56,60,63,65,67,72,77
4,6,11,14,18,21,27,32,37,40,46,54,56,61,63,65,68,72,77
2,7,11,14,18,21,27,32,37,42,46,51,58,60,63,66,67,72,75
4,6,11,14,18,21,27,32,37,40,46,54,58,60,63,66,68,72,75
1,6,10,14,18,23,27,32,35,40,46,54,56,60,63,65,67,72,75
1,6,10,15,18,21,26,30,36,40,45,49,56,60,64,65,67,72,74
3,6,10,15,18,23,26,30,36,41,46,49,56,62,64,65,70,73,77
2,7,11,14,18,21,27,32,37,42,46,51,58,60,64,65,67,72,75
1,6,10,15,18,21,25,30,36,40,45,49,56,62,63,65,70,72,74
3,9,13,15,18,23,29,34,39,43,47,53,57,62,63,66,69,73,75
3,6,12,15,18,23,26,31,36,41,45,50,56,62,63,65,70,73,76
1,6,10,15,18,24,25,32,35,40,46,49,58,60,63,65,67,72,77
1,6,10,14,18,23,27,32,37,43,46,54,57,60,63,65,68,72,76
1,6,12,14,17,23,25,32,35,41,45,54,56,60,63,65,68,72,76
1,6,10,15,18,21,25,30,35,40,45,49,56,60,63,65,68,72,74
1,6,10,14,17,23,27,32,35,40,46,54,56,60,63,65,68,72,76
3,9,13,15,18,23,29,34,39,43,47,53,57,62,63,65,69,73,74
2,7,11,14,18,23,27,33,37,40,48,52,58,62,63,66,67,73,76
2,7,11,14,18,21,27,32,37,42,46,51,58,60,64,66,67,72,75
3,9,13,15,18,23,29,34,39,43,47,53,57,60,63,65,67,72,75
3,9,13,15,18,23,29,34,39,43,47,53,57,62,63,65,69,73,75
2,8,11,14,18,21,27,32,37,44,46,51,58,60,63,66,67,72,77
5,9,13,15,18,23,29,34,39,43,47,53,57,62,63,65,69,73,77
2,7,11,14,18,23,28,33,38,42,48,52,59,62,63,65,70,73,76
5,6,12,15,18,23,26,30,36,40,45,50,56,62,63,65,70,73,76
4,7,11,14,18,21,27,32,37,42,46,51,58,60,63,66,67,72,77
1,6,12,15,18,24,26,34,36,41,47,53,56,60,63,66,67,72,77
1,6,10,15,18,21,25,30,35,40,45,49,58,62,63,65,70,72,74
4,6,10,14,18,24,27,32,37,41,46,54,57,60,63,65,67,72,75
1,6,10,15,18,21,26,30,36,40,45,50,56,60,63,65,67,72,74
1,6,10,16,19,22,25,30,36,40,48,49,56,62,64,65,67,72,74
4,8,11,14,18,21,27,32,37,44,46,55,58,60,63,66,67,72,77
3,6,12,15,20,24,26,31,36,41,45,50,56,62,63,65,69,73,76
1,9,12,15,18,22,29,34,39,41,47,53,57,60,63,65,68,72,74
1,6,10,15,18,21,26,30,36,40,45,49,57,60,63,65,68,72,74
3,6,12,15,18,23,26,30,36,41,45,49,56,60,63,65,67,72,76
1,6,10,14,18,23,27,32,37,40,46,54,58,60,63,65,67,72,75
1,9,12,15,18,24,25,32,35,43,46,54,57,60,63,65,67,72,77
2,8,11,14,20,23,28,33,38,42,48,52,59,62,63,65,70,73,76
1,6,12,15,18,23,26,30,36,41,45,49,57,60,63,65,67,72,76
1,9,12,14,18,23,27,32,35,41,46,54,57,60,63,65,68,72,76
3,6,13,15,18,21,29,34,39,41,47,53,57,60,63,65,68,72,74
2,7,11,14,18,21,27,32,37,42,46,51,58,60,64,66,68,72,75
3,9,10,15,18,24,26,30,36,43,45,49,57,60,63,66,67,72,77
4,7,11,15,18,21,27,32,37,42,46,51,58,60,64,65,67,72,77
1,9,10,15,18,24,29,34,39,40,47,53,57,61,64,65,68,72,74
4,6,11,14,18,21,27,32,37,40,46,51,57,60,63,66,68,72,77
1,9,12,15,18,23,26,30,36,41,45,50,57,60,63,66,68,72,76
5,9,13,15,18,24,29,34,39,43,47,53,57,62,63,66,69,73,77
1,9,12,15,18,23,26,34,36,43,47,50,57,60,63,65,67,72,75
3,6,12,15,18,23,26,31,36,41,45,50,56,60,63,65,67,72,76
3,9,10,15,18,21,27,32,37,43,46,54,57,60,63,66,67,72,75
1,6,10,14,18,21,25,32,35,40,46,54,56,60,63,65,68,72,75
5,9,13,15,18,23,29,34,39,43,47,53,57,62,63,65,71,73,77
5,6,12,15,18,23,26,31,36,41,45,50,56,62,63,65,69,73,76
1,9,10,15,18,23,29,34,39,43,47,53,57,60,63,66,68,72,77
3,6,10,15,18,21,25,30,35,40,45,49,56,62,63,66,70,72,74
4,7,11,14,18,21,27,32,37,42,46,51,56,60,63,66,67,72,77
1,6,12,15,18,23,26,34,39,41,47,50,56,60,63,65,68,72,76
1,9,12,14,17,23,26,30,36,43,45,50,57,60,63,65,68,72,76
3,6,12,15,17,23,26,30,36,41,45,50,56,62,63,65,70,73,76
1,9,12,15,18,23,29,34,39,43,47,53,57,61,63,66,68,72,75
1,9,13,15,20,23,29,34,39,41,47,53,57,62,63,65,69,73,74
1,6,11,14,18,21,27,32,37,40,46,51,58,60,63,65,67,72,77
1,9,12,15,18,23,29,34,39,43,47,53,57,61,63,65,68,72,75
3,6,12,15,18,23,26,31,36,41,45,50,56,62,63,65,69,73,76
1,6,11,14,18,21,27,32,37,41,46,54,57,60,63,66,68,72,77
1,9,12,15,18,23,29,34,39,43,47,53,57,60,63,66,68,72,77
2,7,11,14,18,21,27,32,37,42,46,51,58,60,63,66,67,72,77
3,9,10,14,18,21,27,32,35,43,46,54,57,60,63,66,68,72,77
2,7,11,14,18,21,27,32,37,40,46,51,56,60,64,66,67,72,75
3,9,12,15,18,21,29,34,39,43,47,53,57,60,63,65,68,72,74
2,7,11,14,18,21,27,32,37,42,46,51,58,60,63,65,67,72,75
4,6,10,14,17,23,27,32,37,40,46,51,56,62,63,65,68,72,76
3,9,10,15,18,23,26,31,36,43,45,50,57,60,63,66,70,72,75
3,6,12,15,18,23,26,31,36,41,45,50,56,62,63,65,69,73,76
2,7,11,15,18,21,27,32,37,42,46,51,58,60,63,66,67,72,75
3,9,12,15,18,23,29,34,39,43,47,53,57,60,63,65,68,72,74
1,6,13,15,20,23,29,34,39,41,47,53,57,62,64,65,70,73,74
3,9,12,15,18,23,26,31,36,43,45,50,57,62,64,65,69,73,77
1,6,10,14,18,24,27,32,37,40,46,54,58,60,63,65,68,72,77
1,6,11,14,18,21,27,32,37,40,46,51,57,61,63,66,68,72,75
4,7,11,14,18,21,27,32,37,42,46,54,58,60,63,65,68,72,75
1,6,12,15,18,21,25,30,35,40,45,49,56,62,63,65,70,72,74
1,9,13,15,18,23,29,34,39,43,47,53,57,60,63,65,68,72,74
4,7,10,14,18,21,27,32,37,40,46,54,58,60,64,65,68,72,77
4,7,11,16,17,23,28,33,38,42,48,52,59,62,63,66,70,73,76
1,6,12,15,18,21,25,30,35,40,45,49,56,62,64,65,70,72,74
4,7,11,14,18,21,27,32,37,42,46,54,58,60,64,65,68,72,75
1,8,11,14,17,21,27,32,37,44,46,51,58,60,63,65,67,72,77
4,7,10,14,18,23,27,32,37,42,46,51,58,62,63,65,68,72,76
1,9,10,15,18,21,26,31,36,41,47,50,57,60,64,65,67,72,74
1,6,12,14,17,23,26,30,36,41,45,49,56,60,63,65,68,72,76
1,9,12,15,18,23,25,32,35,43,45,54,57,61,63,65,68,72,77
1,9,12,14,18,21,25,32,35,43,46,49,57,61,63,66,68,72,77
1,6,12,15,18,23,26,31,36,41,45,50,56,60,63,65,68,72,76
2,7,11,14,18,21,27,32,37,40,46,51,58,60,63,65,68,72,75
5,6,12,15,18,23,26,31,36,41,45,50,56,62,63,65,69,73,76
1,6,12,15,20,23,29,34,39,41,47,53,56,62,63,65,70,73,74
3,6,12,15,18,24,26,31,39,41,45,50,56,60,63,65,67,72,74
4,8,11,14,17,21,27,32,37,44,46,51,59,60,63,65,67,72,77
1,6,10,14,18,21,27,32,37,41,46,54,57,61,63,65,68,72,75
1,6,13,15,18,23,29,34,39,41,47,53,57,61,64,65,68,72,74
2,7,11,14,18,24,27,32,37,42,46,51,58,60,63,65,68,72,77
1,6,10,14,18,24,27,32,35,40,46,54,56,60,63,65,68,72,77
3,9,12,15,20,23,26,30,36,43,45,50,57,62,64,65,69,73,77
4,6,10,14,17,23,27,32,37,40,46,54,58,60,63,65,68,72,76
3,6,12,15,18,23,26,31,36,41,45,50,56,62,63,65,69,73,76
5,6,12,15,18,24,26,31,36,41,45,50,57,62,63,65,69,73,76
1,7,11,15,18,21,27,32,37,44,46,51,58,62,64,66,67,72,77
2,7,11,14,18,21,27,32,37,42,46,51,58,60,64,65,67,72,75
1,9,13,15,18,24,29,34,39,41,47,53,57,61,64,65,68,72,74
1,6,12,15,18,23,29,34,39,41,45,53,57,60,63,65,67,72,74
2,8,11,14,18,21,27,32,37,44,46,51,58,60,63,66,67,72,77
2,7,11,15,18,23,27,32,37,40,48,55,58,62,63,65,67,73,76
2,8,11,14,18,21,27,32,37,44,46,55,58,60,64,65,67,72,77
3,9,12,15,18,24,26,30,36,43,45,50,57,62,63,65,69,73,77
1,8,11,14,17,21,27,32,37,42,46,51,58,60,63,66,67,72,75
4,8,11,14,18,21,27,32,37,44,46,55,58,60,63,65,67,72,77
1,6,10,15,18,21,25,30,35,40,45,49,56,60,63,65,70,72,74
1,6,10,14,17,23,27,32,37,41,46,54,56,60,63,65,68,72,76
3,6,13,15,18,23,26,31,36,41,45,50,56,62,63,65,69,73,76
2,8,11,14,18,21,27,32,37,44,46,51,58,60,63,65,70,72,75
2,7,10,14,18,21,27,32,37,42,46,51,58,60,63,66,67,72,77
1,6,10,14,18,24,27,32,35,40,46,54,58,60,64,65,67,72,77
3,9,12,15,18,24,26,34,39,43,45,50,57,60,63,65,67,72,74
1,6,10,15,18,21,25,30,35,40,45,49,56,62,63,65,70,72,74
3,6,12,15,17,23,26,30,36,41,45,50,58,62,63,65,69,73,76
2,8,11,14,17,21,27,32,37,44,46,51,58,60,63,65,67,72,77
1,6,10,14,18,23,25,32,35,41,45,49,56,60,63,65,68,72,75
3,9,10,15,18,23,26,31,36,43,45,50,57,60,63,66,70,73,77
4,7,11,14,18,21,27,32,37,42,46,51,56,60,63,66,67,72,77
2,7,11,14,18,21,27,32,37,44,46,51,58,60,64,66,67,72,75
1,6,12,15,18,21,25,30,35,40,45,49,57,61,64,65,68,72,75
3,6,12,15,18,23,26,31,36,41,45,50,57,62,63,65,69,73,76
4,7,11,14,18,21,27,32,37,42,46,51,58,60,63,65,67,72,77
2,7,11,15,20,23,28,33,38,42,48,52,59,62,64,65,69,73,76
1,6,12,14,17,23,25,32,36,41,46,49,56,60,63,65,68,72,76
2,8,11,14,18,21,27,32,37,42,46,51,58,60,63,66,67,72,77
1,6,10,15,18,21,25,30,36,40,45,49,57,60,63,65,67,72,74
1,9,13,15,18,23,29,34,39,43,47,53,57,62,63,65,69,73,74
4,7,11,15,18,21,27,32,37,44,46,51,58,60,63,66,67,72,77
4,8,11,14,18,21,27,32,37,44,46,55,58,60,63,65,67,72,77
2,7,11,14,18,21,27,32,37,42,46,51,58,62,63,65,67,72,77
3,9,12,15,18,24,29,34,39,43,47,53,57,62,63,66,70,73,77
1,9,12,15,18,23,26,31,36,43,45,50,57,62,63,66,70,73,75
1,6,11,14,18,21,27,32,37,41,46,54,58,60,63,65,67,72,77
2,7,11,14,18,21,27,32,37,42,46,51,58,60,64,65,67,72,75
4,7,11,14,18,21,27,32,37,42,46,51,58,60,63,66,67,72,75
1,9,10,15,18,24,26,31,36,43,45,50,57,60,63,66,67,72,77
1,6,10,15,18,21,25,30,35,40,45,49,56,60,63,66,67,72,74
4,8,11,14,18,21,27,32,37,44,46,51,58,60,64,66,67,72,77
3,6,12,15,18,23,26,31,36,41,45,50,56,62,63,65,69,73,76
1,9,10,15,18,23,25,32,35,43,46,54,57,60,63,65,68,72,77
4,7,11,14,18,21,27,32,37,44,46,55,58,60,63,66,67,72,77
1,9,12,15,18,21,25,30,35,43,45,49,57,61,63,66,68,72,75
1,9,12,15,18,23,29,34,39,43,45,53,57,60,63,65,67,72,74
5,9,13,15,18,23,29,34,39,43,47,53,57,62,63,66,71,73,77
1,6,12,15,18,24,26,31,36,41,45,50,57,61,64,65,68,72,77
2,7,11,14,18,21,27,32,37,42,46,51,58,60,64,66,67,72,75
3,9,12,15,18,23,26,30,36,43,45,50,57,62,63,65,70,73,75
1,9,12,15,18,24,29,34,39,41,47,53,57,61,63,65,68,72,74
1,9,10,15,18,24,27,32,37,43,46,54,57,60,63,66,67,72,75
1,9,12,15,18,23,29,34,39,41,45,53,57,60,63,65,67,73,74
1,9,12,15,18,23,29,34,39,43,47,53,57,60,63,66,68,72,75
1,6,10,14,19,22,26,31,36,40,46,50,57,62,63,65,67,72,74
2,7,11,14,18,21,27,32,37,42,46,51,58,60,63,66,67,72,77
1,6,12,15,18,23,25,32,35,41,46,49,56,60,63,65,67,72,75
1,6,11,14,18,21,27,32,37,41,46,54,56,60,64,65,67,72,75
2,6,11,14,18,21,27,32,37,40,46,51,56,60,64,66,68,72,77
1,6,12,14,17,23,27,32,35,40,46,54,56,60,63,66,68,72,76
3,6,13,15,18,24,26,31,36,41,45,50,56,62,63,65,69,73,76
1,6,10,14,18,24,27,32,37,40,46,54,58,60,64,65,68,72,75
2,8,11,15,20,23,28,33,38,42,48,52,58,62,63,66,69,73,76
2,6,11,14,18,21,27,32,37,40,46,51,57,61,63,66,68,72,75
1,6,13,15,18,23,29,34,39,41,47,53,57,62,64,65,67,73,74
1,9,13,15,20,23,29,34,39,41,47,53,57,62,64,65,70,73,74
1,6,10,14,18,21,25,30,35,40,45,49,57,60,64,65,68,72,74
4,8,11,14,18,21,27,32,37,44,46,51,58,60,63,66,67,72,75
3,9,12,15,18,23,29,34,39,41,47,53,57,61,63,65,68,72,74
4,6,11,14,18,21,27,32,37,40,46,51,56,60,63,65,67,72,77
2,8,11,14,18,23,28,33,38,42,48,52,59,62,63,65,70,73,76
1,6,12,14,17,23,25,32,36,41,45,49,56,60,63,65,68,72,76
1,9,13,15,18,23,29,34,39,43,47,53,57,61,63,65,68,72,74
1,9,10,14,18,21,27,32,35,43,46,54,57,61,63,65,68,72,75
1,9,12,14,18,24,25,30,35,43,46,49,57,60,63,65,67,72,75
1,6,12,14,17,22,26,30,36,41,45,50,57,62,63,65,67,73,76
1,6,10,15,18,21,25,30,35,40,45,49,57,62,63,65,70,72,74
1,9,12,15,20,23,29,34,36,41,47,53,57,62,64,66,70,73,74
1,6,12,15,18,24,26,31,39,41,47,50,56,60,63,65,68,72,76
1,9,12,14,17,24,25,30,36,43,45,49,57,60,63,65,68,72,76
2,7,11,14,18,21,27,32,37,42,46,51,58,60,63,65,67,72,75
3,9,13,15,18,23,29,34,39,43,47,53,57,62,63,65,70,73,74
5,9,12,15,18,21,26,34,36,43,47,53,57,62,63,66,69,73,77
1,9,10,14,18,24,27,32,37,43,46,54,57,60,63,65,67,72,75
3,6,12,15,18,24,26,31,36,41,45,50,56,62,63,65,69,73,76
2,6,11,14,18,21,27,32,37,40,46,51,56,61,64,66,68,72,75
3,6,10,14,18,21,27,32,37,40,46,54,58,60,63,65,68,72,77
2,8,11,16,17,23,28,33,38,42,48,52,58,62,63,65,67,73,76
3,9,12,15,18,23,29,34,39,43,47,53,57,60,63,65,67,72,75
3,6,12,15,18,23,26,31,36,41,45,50,56,62,63,65,69,73,76
4,8,11,14,17,21,27,32,37,42,46,51,58,60,63,65,67,72,75
2,8,11,14,18,21,27,32,37,44,46,51,58,60,63,65,67,72,77
1,9,10,14,17,24,27,32,35,43,46,54,57,60,63,66,67,72,77
2,7,11,14,18,21,27,32,37,42,46,51,58,60,63,66,67,72,75
1,6,12,15,18,23,26,31,36,41,45,50,57,60,64,66,67,72,77
1,9,12,14,18,23,25,32,36,43,46,49,57,60,63,66,68,72,76
4,6,10,14,18,21,27,32,37,40,46,54,56,61,63,66,68,72,75
2,7,11,14,18,21,27,32,37,42,46,51,58,60,63,65,67,72,75
1,9,10,15,18,24,25,32,35,43,46,49,57,60,63,65,67,72,75
3,6,12,15,18,23,26,31,36,41,45,50,56,62,63,65,69,73,76
1,9,12,15,18,24,29,34,39,43,47,53,57,60,63,65,68,72,74
2,7,11,14,18,21,27,32,37,42,46,51,58,60,64,66,67,72,75
1,6,12,15,18,23,26,30,36,41,45,49,56,60,64,65,68,72,75
1,6,10,15,18,21,26,30,36,40,45,49,56,60,63,65,68,72,74
1,6,10,15,18,21,25,30,35,42,45,49,56,62,63,65,70,72,74
2,8,11,14,18,21,27,32,37,42,46,51,58,60,63,66,67,72,77
2,7,11,14,18,21,27,32,37,42,46,51,58,60,63,66,67,72,75
2,7,11,14,18,21,27,32,37,42,46,51,58,60,63,65,67,72,75
4,7,11,14,18,21,27,32,37,42,46,51,58,60,63,65,67,72,77
1,6,10,15,18,24,27,32,35,40,46,54,57,61,63,65,68,72,77
3,9,12,15,18,23,29,34,39,43,47,53,57,60,63,65,70,72,77
3,6,12,15,18,23,26,31,36,41,45,50,57,62,63,65,69,73,76
1,9,12,15,18,24,29,34,39,43,45,53,57,60,63,65,67,72,74
2,7,11,14,18,21,27,32,37,42,46,51,58,60,64,66,67,72,75
2,7,11,14,18,21,27,32,37,42,46,51,58,60,64,65,67,72,75
4,7,10,14,18,23,27,32,37,40,46,51,58,60,63,65,68,72,76
3,9,13,15,18,23,29,34,39,43,47,53,57,60,63,66,68,72,74
1,8,11,15,18,21,27,32,37,44,46,55,58,60,63,66,67,72,77
3,9,12,15,18,24,29,34,39,43,47,53,57,60,63,66,70,72,77
1,9,10,15,18,23,26,31,36,43,45,50,57,60,63,65,67,72,77
2,8,11,14,17,21,27,32,37,44,46,55,58,62,64,65,67,72,77
3,6,12,15,18,24,26,31,36,40,45,50,56,62,63,65,69,73,76
5,9,12,15,18,23,29,34,39,43,47,53,57,60,63,66,70,72,77
5,6,12,15,18,24,26,30,36,41,45,50,56,62,63,65,70,73,76
1,6,10,15,18,24,26,31,36,41,47,50,56,61,64,65,68,72,75
3,9,13,15,18,23,29,34,39,41,47,53,57,62,64,65,71,73,74
1,7,10,14,18,23,27,32,37,40,46,54,58,60,63,65,67,72,77
1,9,10,14,18,24,27,32,37,43,46,54,57,60,63,65,67,72,77
1,6,12,15,18,23,29,34,39,41,47,53,57,60,63,65,68,72,74
1,6,10,15,18,23,27,32,37,41,46,54,57,62,63,65,68,72,76
1,9,13,15,18,23,29,34,39,43,47,53,57,61,63,65,68,72,75
1,6,10,14,17,23,27,32,35,40,46,54,56,60,64,65,68,72,76
1,9,10,15,18,24,29,34,39,41,47,53,57,61,63,65,68,72,74
4,7,11,14,17,21,27,32,37,42,46,55,58,60,63,66,67,72,77
1,9,10,14,18,23,25,32,35,43,46,49,57,60,63,66,68,72,75
1,9,10,14,18,23,27,32,37,41,46,54,57,60,63,66,67,72,77
1,7,11,14,17,21,27,32,37,42,46,51,58,60,63,66,67,72,75
3,9,12,15,18,23,29,34,39,41,47,53,57,61,63,66,68,72,74
3,9,13,15,18,23,29,34,39,43,47,53,57,61,63,65,68,72,74
3,9,12,15,18,21,29,34,39,43,47,53,57,60,63,66,67,72,77
3,6,13,15,20,23,26,31,36,41,45,50,56,62,63,65,69,73,76
4,8,11,14,18,21,27,32,37,44,46,51,58,60,64,66,67,72,77
1,6,10,15,18,21,25,30,35,42,45,49,56,62,63,65,70,72,74
5,9,13,15,18,23,29,34,39,43,47,53,57,62,63,65,69,73,77
1,9,12,14,17,23,25,32,35,43,45,54,57,60,63,65,68,72,76
3,9,13,15,18,23,29,34,39,43,47,53,57,62,63,66,69,73,75
1,9,12,15,18,23,29,34,39,43,47,53,57,61,63,66,68,72,77
1,6,12,15,18,24,29,34,39,41,47,53,57,61,63,66,68,72,77
3,9,13,15,18,23,29,34,39,43,47,53,57,62,63,65,69,73,74
1,9,12,15,18,24,29,34,39,41,47,53,57,60,63,65,67,73,74
1,8,11,15,18,21,27,32,37,44,46,51,58,62,63,65,70,72,77
2,8,11,14,17,21,27,32,37,44,46,51,58,60,63,65,67,72,75
1,6,10,15,18,21,26,30,36,40,45,50,58,62,63,65,70,72,74
1,9,11,14,18,24,27,32,37,43,46,54,57,60,63,66,68,72,75
2,7,11,14,18,21,27,32,37,42,46,51,58,60,64,66,67,72,75
3,9,12,15,18,23,29,34,39,43,45,53,57,60,63,66,67,72,75
2,7,11,14,18,21,27,32,37,42,46,51,58,60,64,66,67,72,75
3,6,12,15,17,23,26,31,39,41,45,50,57,60,63,65,67,72,76
1,6,12,15,17,23,26,31,36,41,45,50,56,60,63,65,67,72,76
1,7,10,14,17,23,27,32,37,42,46,54,58,60,63,65,68,72,76
1,6,13,15,18,23,29,34,39,41,47,53,57,60,64,65,68,72,74
3,9,13,15,18,23,29,34,39,43,47,53,57,60,63,65,67,72,75
4,6,11,14,18,21,27,32,37,40,46,51,56,60,63,65,67,72,77
3,6,12,15,18,23,26,31,36,41,45,50,56,62,63,65,69,73,76
4,7,11,14,18,21,27,32,37,40,46,51,56,60,63,66,68,72,77
5,9,13,15,18,23,29,34,39,43,47,53,57,62,63,65,71,73,77
1,6,13,15,18,23,29,34,39,41,47,53,57,62,63,65,70,73,74
1,6,12,15,18,23,26,34,39,41,47,53,57,61,63,65,68,72,75
3,6,12,15,18,23,26,31,36,40,45,50,56,62,63,65,69,73,76
1,6,12,14,17,23,27,32,37,40,46,54,56,60,63,65,68,72,76
2,8,11,14,18,21,27,32,37,42,46,51,58,60,64,65,67,72,77
1,7,11,14,18,21,27,32,37,42,46,54,59,60,63,65,67,72,77
3,6,12,14,17,23,25,30,36,41,45,49,56,62,63,65,70,72,76
1,6,11,14,18,21,27,32,37,40,46,54,57,60,63,66,67,72,75
1,6,10,14,17,23,27,32,37,41,46,54,57,60,63,65,68,72,76
1,6,10,15,18,21,26,30,36,40,45,50,56,60,64,65,68,72,74
3,6,10,15,18,23,26,30,36,41,45,50,57,60,63,65,67,72,77
1,9,10,14,17,23,25,32,35,43,45,54,57,60,63,65,68,72,76
3,9,12,15,18,23,26,31,36,43,45,50,57,62,63,66,70,73,75
2,7,11,14,18,21,27,32,37,42,46,51,58,60,63,65,67,72,75
1,9,10,15,18,23,26,31,36,43,45,50,57,60,63,66,67,72,75
1,8,11,14,18,21,27,32,37,42,46,51,58,60,63,66,67,72,75
3,9,12,15,18,23,26,34,36,41,47,53,57,62,63,66,70,73,75
1,9,10,14,18,24,25,32,35,43,46,49,57,61,63,66,68,72,77
1,6,10,14,18,21,27,32,37,41,46,54,57,61,63,65,68,72,77
4,6,10,14,18,21,27,32,37,40,46,54,57,61,64,66,68,72,75
3,9,13,15,18,23,29,34,39,43,47,53,57,62,63,65,69,73,74
3,6,12,15,18,23,26,30,36,41,45,50,57,62,63,66,67,72,76
1,6,10,15,18,21,25,30,35,40,45,49,56,62,64,65,70,72,74
1,9,10,15,18,24,29,34,39,41,47,53,57,61,63,65,68,72,74
1,7,11,14,18,21,27,32,37,40,46,54,58,60,63,65,68,72,75
1,9,13,15,18,23,29,34,39,43,47,53,57,61,63,65,68,72,74
2,6,11,14,18,21,27,32,37,40,46,54,57,60,63,65,68,72,75
3,6,12,15,18,23,26,31,36,41,47,50,56,62,64,65,69,73,75
1,6,10,15,18,24,27,32,35,40,46,54,56,60,63,65,67,72,75
1,6,12,15,18,24,29,34,39,41,47,53,57,61,63,65,68,72,74
1,6,10,15,18,21,25,30,35,40,45,49,56,60,63,65,70,72,74
4,6,11,14,18,21,27,32,37,41,46,54,57,60,63,65,68,72,77
2,7,11,14,18,21,27,32,37,42,46,51,58,60,63,65,67,72,75
1,6,10,15,17,21,25,30,35,40,45,49,56,60,64,66,67,72,74
3,6,12,15,18,23,26,31,36,41,45,50,56,62,63,65,69,73,76
1,7,11,14,18,21,27,32,37,42,46,54,58,60,64,65,67,72,77
4,6,10,14,18,21,27,32,37,41,46,54,57,60,63,66,68,72,77
1,6,10,14,18,23,27,32,37,40,46,51,58,60,63,65,68,72,76
1,9,12,15,18,23,26,31,36,43,45,50,57,61,63,65,68,72,77
1,9,10,14,18,24,26,30,36,43,45,49,57,60,63,65,67,72,75
4,8,11,14,17,21,27,32,37,44,46,55,58,60,63,65,67,72,77
3,6,12,15,18,23,26,30,36,41,46,50,56,62,63,65,70,73,76
2,7,10,14,17,23,27,32,37,40,46,54,56,62,63,66,68,72,76
3,6,12,15,18,23,26,31,36,41,45,50,56,62,63,65,69,73,76
1,6,12,14,17,23,25,30,36,41,46,49,57,60,63,65,67,72,76
1,6,12,15,18,21,25,30,35,40,45,49,56,60,63,65,70,72,74
1,6,12,14,17,23,27,32,35,40,46,54,56,60,64,65,68,72,76
1,6,12,15,18,21,25,30,35,40,45,49,56,62,63,65,70,72,74
2,8,11,14,18,23,28,33,38,42,48,52,59,62,63,65,70,73,76
4,9,12,14,18,23,27,32,35,43,46,54,57,60,63,66,68,72,76
3,6,12,15,18,23,26,31,36,41,45,50,57,62,63,65,69,73,76
1,9,12,15,18,23,29,34,39,43,47,53,57,61,63,65,68,72,77
2,8,11,16,18,23,28,33,38,42,48,52,59,62,63,66,69,73,76
1,9,13,15,18,23,29,34,39,43,47,53,57,62,63,65,69,73,75
2,7,11,14,18,21,27,32,37,42,46,54,58,61,64,65,68,72,75
1,9,10,14,18,21,27,32,35,41,46,54,57,61,63,65,68,72,75
3,6,12,15,17,23,26,31,36,41,45,50,56,60,63,65,67,72,76
2,7,11,14,18,21,27,32,37,40,46,54,58,60,63,65,68,72,75
1,6,12,15,18,21,25,30,35,42,45,49,56,62,63,65,70,72,74
4,6,10,14,18,21,27,32,37,41,46,54,57,61,63,65,68,72,75
1,6,12,15,20,23,29,34,39,41,47,53,57,62,63,66,70,73,74
1,9,10,15,18,24,26,30,36,43,45,49,57,60,63,65,67,72,75
1,9,12,14,17,23,26,30,36,43,46,49,57,60,63,65,68,72,76
3,6,12,15,18,23,26,31,36,41,45,50,57,60,63,65,70,72,76
1,6,10,15,18,23,27,32,35,41,46,54,58,60,64,65,67,72,77
2,7,11,14,18,21,27,32,37,42,46,51,56,60,63,66,67,72,77
2,6,11,14,18,21,27,32,37,40,46,51,58,60,63,65,67,72,75
1,6,10,14,18,24,27,32,37,40,46,54,58,60,64,65,68,72,77
1,6,10,15,18,24,29,34,39,41,47,53,57,61,64,65,68,72,74
4,7,11,14,18,21,27,32,37,42,46,51,58,60,63,65,67,72,77
2,7,11,14,18,21,27,32,37,42,46,51,58,60,64,65,67,72,75
3,6,12,16,19,22,29,34,39,41,46,53,56,62,63,65,67,72,74
1,9,13,15,18,23,29,34,39,43,47,53,57,61,63,65,68,72,74
1,6,10,15,18,21,25,30,35,40,45,49,56,62,63,65,70,72,74
1,6,11,14,18,21,27,32,37,41,46,54,57,60,63,66,68,72,77
4,7,11,14,18,23,27,33,37,42,48,52,58,62,63,65,67,73,76
4,7,11,14,18,21,27,32,37,42,46,51,58,60,63,65,67,72,75
2,6,11,14,18,21,27,32,37,40,46,51,56,60,63,65,68,72,75
2,7,11,14,18,21,27,32,37,42,46,51,58,60,63,66,67,72,75
1,6,12,14,17,24,26,30,36,41,45,49,56,60,63,65,68,72,76
4,7,11,14,18,21,27,32,37,42,46,55,58,60,63,66,67,72,77
1,6,10,14,18,21,27,32,37,41,46,54,57,61,63,65,68,72,75
1,6,12,14,17,23,25,32,35,40,46,54,56,60,63,65,68,72,76
2,7,11,15,18,21,27,32,37,42,46,51,58,60,63,66,67,72,77
